E,I
773.54,38
774.40,43
775.25,37
776.11,36
776.96,46
777.82,29
778.67,36
779.53,43
780.38,29
781.24,41
782.09,38
782.95,57
783.80,30
784.66,39
785.51,36
786.37,31
787.22,39
788.08,30
788.93,33
789.79,36
790.64,37
791.50,29
792.35,30
793.21,34
794.06,39
794.92,37
795.77,35
796.63,40
797.48,28
798.34,44
799.19,26
800.05,23
800.90,34
801.76,38
802.61,41
803.47,41
804.32,31
805.18,28
806.03,28
806.89,27
807.74,35
808.60,35
809.45,39
810.31,37
811.16,35
812.02,39
812.87,34
813.73,28
814.58,29
815.44,27
816.29,29
817.15,32
818.00,28
818.86,25
819.71,34
820.57,15
821.42,33
822.28,33
823.13,23
823.99,29
824.84,26
825.70,20
826.55,23
827.41,26
828.26,36
829.12,31
829.97,29
830.83,32
831.68,31
832.54,26
833.39,26
834.25,37
835.10,26
835.96,26
836.81,20
837.67,29
838.52,20
839.38,28
840.23,31
841.09,16
841.94,34
842.80,34
843.65,23
844.51,20
845.36,36
846.22,31
847.07,30
847.93,27
848.78,28
849.64,0
850.49,0
851.35,0
852.20,0
853.06,0
853.91,0
854.77,0
855.62,0
856.48,0
857.33,0
858.19,0
859.04,0
859.90,0
860.75,0
861.61,0
862.46,0
